ID,YEAR,COUNTRY,LATITUDE,LONGITUDE,DISASTER_TYPE,HOUSES_AFFECTED,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
394,2010,Ecuador,-1.467,-78.442,volcano,0,0,0,0
395,2010,Ecuador,-1.467,-78.442,volcano,0,0,0,0
396,2010,Iceland,63.63,-19.62,volcano,0,2,0,0
397,2010,Guatemala,14.381,-90.601,volcano,3,1,0,0
398,2010,United States,16.708,145.78,volcano,0,0,0,0
399,2010,Indonesia,2.78,125.48,volcano,0,4,5,0
400,2010,Indonesia,3.17,98.392,volcano,0,2,0,0
401,2010,Indonesia,-7.542,110.442,volcano,0,367,277,600
402,2010,Indonesia,-7.942,112.95,volcano,0,0,0,0
403,2011,Indonesia,-7.542,110.442,volcano,0,1,1,0
404,2011,Japan,31.93,130.87,volcano,0,0,0,0
405,2011,Philippines,12.77,124.05,volcano,0,1,0,0
406,2011,Indonesia,2.78,125.48,volcano,0,0,0,0
407,2011,Ecuador,-1.467,-78.442,volcano,0,0,0,0
408,2011,Chile,-40.59,-72.117,volcano,0,0,0,0
409,2011,Eritrea,13.37,41.7,volcano,0,31,0,0
410,2011,Iceland,63.63,-19.05,volcano,0,0,0,0
411,2011,Indonesia,1.358,124.792,volcano,0,1,0,0
412,2011,Indonesia,0.8,127.325,volcano,0,4,0,0
413,2012,United States,19.425,-155.292,volcano,0,0,0,0
414,2012,United States,19.425,-155.292,volcano,0,0,0,0
415,2012,Russia,55.83,160.33,volcano,0,0,0,0
416,2013,Indonesia,-7.542,110.442,volcano,0,1,1,0
417,2013,Indonesia,-8.32,121.708,volcano,0,0,0,0
418,2013,Indonesia,3.17,98.392,volcano,0,0,0,0
419,2013,Philippines,13.257,123.685,volcano,0,5,8,0
420,2013,Indonesia,-8.32,121.708,volcano,0,5,0,0
421,2013,Peru,-16.355,-70.903,volcano,0,0,0,0
422,2013,Japan,31.58,130.67,volcano,0,0,0,0
423,2013,New Zealand,-38.12,176.5,volcano,0,1,0,0
424,2014,Indonesia,3.17,98.392,volcano,0,17,3,0
425,2014,Indonesia,-7.93,112.308,volcano,4098,7,0,0
426,2014,Japan,35.9,137.48,volcano,0,55,70,0
427,2014,United States,19.425,-155.292,volcano,1,0,0,14
428,2014,Cape Verde,14.95,-24.35,volcano,230,0,0,0
429,2014,Indonesia,0.8,127.325,volcano,0,1,4,0
430,2015,Indonesia,3.17,98.392,volcano,0,0,0,0
431,2015,Indonesia,2.78,125.48,volcano,0,0,0,0
432,2015,Chile,-41.326,-72.614,volcano,0,0,0,0
433,2015,Papua New Guinea,-4.1,145.061,volcano,0,0,2,0
434,2015,Indonesia,3.17,98.392,volcano,0,1,0,0
435,2015,New Zealand,-38.12,176.5,volcano,0,1,0,0
436,2016,Indonesia,3.17,98.392,volcano,0,1,4,0
437,2016,Indonesia,3.17,98.392,volcano,0,7,3,100
438,2016,United States,44.43,-110.67,volcano,0,1,0,0
439,2016,Indonesia,-8.42,116.47,volcano,0,0,0,0
