,Unnamed: 0,YEAR,COUNTRY,DISASTER_TYPE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
199,199,1953,Cyprus,Ground movement,40,100,
200,200,1953,Greece,Ground movement,455,,100
201,201,1953,Iran (Islamic Republic of),Ground movement,1000,,
202,202,1953,New Zealand,Ash fall,150,,
203,203,1953,Peru,Ground movement,7,,
204,204,1953,Turkey,Ground movement,1200,,
205,205,1954,Afghanistan,Ground movement,2000,,
206,206,1954,Algeria,Ground movement,1250,,6
207,207,1954,China,Ground movement,50,300,
208,208,1954,Greece,Ground movement,31,200,
209,209,1954,Indonesia,Ash fall,37,,
210,210,1954,Philippines (the),Ground movement,13,101,
211,211,1955,Canada,Landslide,3,6,
212,212,1955,China,Ground movement,39,113,
213,213,1955,Egypt,Ground movement,20,28,
214,214,1955,Philippines (the),Ground movement,400,2000,
215,215,1955,Thailand,Tsunami,500,,
216,216,1956,Afghanistan,Ground movement,100,2000,25
217,217,1956,Greece,--,53,100,
218,218,1956,India,Ground movement,113,219,
219,219,1956,Iran (Islamic Republic of),Ground movement,350,,
220,220,1956,Lebanon,Ground movement,136,200,
221,221,1956,Soviet Union,Ash fall,,,
222,222,1956,Spain,Ground movement,11,70,
223,223,1957,Iran (Islamic Republic of),Ground movement,5544,5000,
224,224,1957,Mexico,Ground movement,160,100,25
225,225,1957,Mongolia,Ground movement,1200,,
226,226,1957,Papua New Guinea,Ash fall,,,
227,227,1957,Tunisia,Ground movement,13,,
228,228,1957,Turkey,Ground movement,76,219,
229,229,1958,Chile,Ground movement,,35,10.1
230,230,1958,Indonesia,Ground movement,8,,
231,231,1958,Iran (Islamic Republic of),Ground movement,191,984,
232,232,1958,Peru,Ground movement,28,,
233,233,1959,China,Tsunami,47,,
234,234,1959,Mexico,Ground movement,28,,
235,235,1959,United States of America (the),Ground movement,28,,26
236,236,1960,Algeria,Ground movement,57,,
237,237,1960,Chile,Ground movement,6570,3000,550
238,238,1960,Iran (Islamic Republic of),Ground movement,480,,
239,239,1960,Japan,Tsunami,138,,140
240,240,1960,Morocco,Ground movement,12000,25000,120
241,241,1960,Papua New Guinea,Ash fall,,,
242,242,1960,Peru,Ground movement,57,,
243,243,1960,Philippines (the),Tsunami,32,,
244,244,1960,United States of America (the),Tsunami,61,,
245,245,1961,Ethiopia,Ground movement,,,
246,246,1961,Iran (Islamic Republic of),Ground movement,60,,
247,247,1962,Colombia,Ground movement,112,,
248,248,1962,Iran (Islamic Republic of),Ground movement,12000,3000,30
249,249,1962,Peru,Landslide,2000,,200
250,250,1962,Turkey,Ground movement,97,267,
251,251,1963,Chile,Ground movement,280,460,235
252,252,1963,Costa Rica,Ash fall,15,200,
253,253,1963,Indonesia,Ash fall,1690,,
254,254,1963,Libya,Ground movement,320,,5
255,255,1963,Nepal,Landslide,150,,
256,256,1963,Yugoslavia,Ground movement,1100,3383,600
257,257,1964,Azores Islands,Ground movement,,,
258,258,1964,Chile,Ash fall,4,,
259,259,1964,Japan,Tsunami,25,376,800
260,260,1964,Mexico,Ground movement,45,,3
261,261,1964,Taiwan (Province of China),Ground movement,107,2485,
262,262,1964,"Tanzania, United Republic of",Ground movement,4,,
263,263,1964,Turkey,Ground movement,23,100,5
264,264,1964,United States of America (the),Ground movement,131,,1020
265,265,1965,Algeria,Ground movement,2,350,2
266,266,1965,Chile,Ground movement,400,350,125
267,267,1965,El Salvador,Ground movement,125,1138,35
268,268,1965,Greece,Ground movement,38,253,8
269,269,1965,Indonesia,Ground movement,111,,
270,270,1965,Philippines (the),Ash fall,355,785,10
271,271,1965,United States of America (the),Ground movement,7,,28
272,272,1966,Chile,Ground movement,4,6,0.4
273,273,1966,China,Ground movement,,,
274,274,1966,Congo (the Democratic Republic of the),Ground movement,24,600,0.2
275,275,1966,Greece,Ground movement,2,173,18
276,276,1966,Indonesia,Ash fall,1088,2060,
277,277,1966,Nepal,Ground movement,80,100,1
278,278,1966,Peru,Ground movement,120,1500,15
279,279,1966,Soviet Union,Ground movement,10,,300
280,280,1966,Turkey,Ground movement,2408,1500,20
281,281,1966,Uganda,Ground movement,104,510,1.5
282,282,1967,Albania,Ground movement,11,134,
283,283,1967,Colombia,Ground movement,61,200,0.6
284,284,1967,Greece,Ground movement,9,56,5
285,285,1967,India,Ground movement,177,2272,0.4
286,286,1967,Indonesia,Ground movement,125,221,
287,287,1967,Philippines (the),Ground movement,200,,
288,288,1967,Turkey,Ground movement,183,360,3
289,289,1967,Venezuela (Bolivarian Republic of),Ground movement,240,1536,50
290,290,1967,Yugoslavia,Ground movement,7,70,20
291,291,1968,Australia,Ground movement,,16,2.6
292,292,1968,Costa Rica,Ash fall,87,,5
293,293,1968,Greece,Ground movement,19,18,0.6
294,294,1968,Indonesia,Tsunami,200,,
295,295,1968,Iran (Islamic Republic of),Ground movement,10038,4150,36
296,296,1968,Italy,Ground movement,224,563,250
297,297,1968,Japan,Ground movement,47,281,131
298,298,1968,Mexico,Ground movement,15,500,
299,299,1968,New Zealand,Ground movement,3,14,2.669
300,300,1968,Nicaragua,Ground movement,,,2
301,301,1968,Peru,Ground movement,11,120,0.1
302,302,1968,Philippines (the),Ash fall,3,,5
303,303,1968,Philippines (the),Ground movement,271,261,5
304,304,1968,Turkey,Ground movement,29,,
305,305,1968,Yugoslavia,Ground movement,1,30,38.6
306,306,1969,China,Ground movement,3000,,
307,307,1969,Ethiopia,Ground movement,24,165,0.32
308,308,1969,Indonesia,Ash fall,,,0.2
309,309,1969,Indonesia,Tsunami,64,97,
310,310,1969,Iran (Islamic Republic of),Ground movement,50,300,
311,311,1969,Peru,Ground movement,150,216,5
312,312,1969,Philippines (the),Ash fall,,,
313,313,1969,South Africa,Ground movement,9,,
314,314,1969,Turkey,Ground movement,41,350,
315,315,1969,Yugoslavia,Ground movement,15,1116,50
316,316,1970,China,Ground movement,10000,,
317,317,1970,Colombia,Ground movement,430,6,0.4
318,318,1970,Ecuador,Ground movement,29,120,4
319,319,1970,India,Ground movement,26,,
320,320,1970,Iran (Islamic Republic of),Ground movement,176,,8
321,321,1970,Papua New Guinea,Ground movement,15,,1.75
322,322,1970,Peru,Ground movement,66823,143583,532
323,323,1970,Philippines (the),Ground movement,14,200,
324,324,1970,Turkey,Ground movement,1086,2776,55.6
325,325,1971,Canada,Landslide,31,,
326,326,1971,Chile,Ground movement,85,451,236.4
327,327,1971,Italy,Ground movement,22,100,41.6
328,328,1971,Nicaragua,Ash fall,,,2
329,329,1971,Saint Vincent and the Grenadines,Ash fall,,,
330,330,1971,Solomon Islands,Ash fall,,,
331,331,1971,Turkey,Ground movement,935,1200,5
332,332,1971,United States of America (the),Ground movement,65,1000,535
333,333,1972,India,Ground movement,100,,
334,334,1972,Iran (Islamic Republic of),Ground movement,5057,1332,1
335,335,1972,Italy,Ground movement,1,,
336,336,1972,Nicaragua,Ground movement,10000,20000,845
337,337,1972,Peru,Ground movement,12,,20
338,338,1973,Costa Rica,Ground movement,21,98,0.2
339,339,1973,Iceland,Ash fall,,,24.7
340,340,1973,Mexico,Ground movement,517,,
341,341,1973,Philippines (the),Ground movement,14,64,0.45
342,342,1974,China,Ground movement,20000,,
343,343,1974,Japan,Ground movement,30,73,
344,344,1974,Pakistan,Ground movement,4700,15000,3.255
345,345,1974,Peru,Ground movement,78,2414,10
346,346,1975,China,Ground movement,10000,,
347,347,1975,Costa Rica,Ash fall,2,,
348,348,1975,Ecuador,Ash fall,,,
349,349,1975,India,Ground movement,47,,
350,350,1975,Solomon Islands,Tsunami,200,,
351,351,1975,Turkey,Ground movement,2385,3372,17
352,352,1976,Afghanistan,Ground movement,50,,
353,353,1976,China,Ground movement,242000,164000,5600
354,354,1976,Costa Rica,Ash fall,,,
355,355,1976,Cuba,Ground movement,1,8,
356,356,1976,Ecuador,Ash fall,1,,
357,357,1976,Ecuador,Ground movement,20,,4
358,358,1976,Guadeloupe,Ash fall,,3,
359,359,1976,Guatemala,Ground movement,23000,77000,1000
360,360,1976,Iceland,Ground movement,1,6,
361,361,1976,Indonesia,Ash fall,40,,
362,362,1976,Indonesia,Ground movement,1126,4755,195
363,363,1976,Iran (Islamic Republic of),Ground movement,16,,
364,364,1976,Italy,Ground movement,934,1750,3600
365,365,1976,New Zealand,Ground movement,,,
366,366,1976,Philippines (the),Ash fall,,,0.679
367,367,1976,Philippines (the),Ground movement,6000,6348,134
368,368,1976,Soviet Union,Ground movement,,,85
369,369,1976,Turkey,Ground movement,3846,15034,25
370,370,1977,Argentina,Ground movement,70,100,80
371,371,1977,Bulgaria,Ground movement,20,165,
372,372,1977,Comoros (the),Ash fall,1,,
373,373,1977,Congo (the Democratic Republic of the),Ash fall,147,,
374,374,1977,Ethiopia,Ash fall,64,,
375,375,1977,Indonesia,Ground movement,187,100,1.2
376,376,1977,Iran (Islamic Republic of),Ground movement,1114,1280,
377,377,1977,Japan,Ash fall,3,,22
378,378,1977,Philippines (the),Ground movement,1,30,0.1
379,379,1977,RÈunion,Ash fall,,,
